,px,py,longitude,latitude,a_depth,b_slope,c_slope_aspect,eastward_georef_1.0.0,northward_georef_1.0.0,temperature,oxygen,nitrate,phosphate,salinity
0,0,0,0.5,-0.5,-4818.0,0.2642112374305725,15.352519989013672,0.0,0.0,2.1868858745586786,5.505997390219812,24.27597723127414,1.4600069595071345,34.862463645702064
1,0,1,0.5,1.5,-4807.0,0.5917001962661743,76.41229248046875,0.0,0.0,2.1864985692214933,5.345002019981353,25.000931028804583,1.5010024500155177,34.86221711855709
2,0,2,0.5,3.5,-4615.0,0.35660451650619507,78.7431640625,0.06700000166893005,0.01900000125169754,2.210836441302599,5.330433721912922,23.52036779670858,1.5090522756743157,34.867397283447445
3,1,0,1.5,-0.5,-4790.0,4.7894368171691895,129.4400634765625,0.0,0.0,2.196174029255421,5.459999810213471,23.313042809739034,1.4620028700009426,34.866921066057735
4,1,1,1.5,1.5,-4678.0,0.32915839552879333,109.17650604248047,-0.04500000178813934,0.13700000941753387,2.177068756052977,5.283003809453609,23.910009207788594,1.5439984498240427,34.8622656152918
5,1,2,1.5,3.5,-4399.0,0.6302779912948608,247.6405792236328,0.0,0.0,,5.492999999999999,23.023000000000003,1.456,
6,2,0,2.5,-0.5,-4414.0,5.927737236022949,288.461669921875,0.021000001579523087,0.09400000423192978,2.269598660129668,5.377005979827685,23.1649792707425,1.5199972600674394,34.87791496385578
7,2,1,2.5,1.5,-4541.0,0.1439788043498993,143.57191467285156,0.0,0.0,,5.580011449432783,22.74937450503102,1.4790052042876292,
8,2,2,2.5,3.5,-4140.0,0.06675025075674057,125.40690612792969,-0.030000001192092896,-0.01100000087171793,2.279,5.422000000000001,24.086,1.349,34.878
