Unnamed: 0,px,py,longitude,latitude,a_depth,b_slope,c_slope_aspect,eastward_georef_1.0.0,northward_georef_1.0.0,temperature,oxygen,nitrate,phosphate,salinity
0,0,0,-159.99583333335,79.99583333335,-3259.0,1.0821963548660278,314.08917236328125,0.006000000052154064,-0.002000000094994902,-0.3015566210818262,6.542718793850925,15.374999999999998,1.107,34.95723253410588
1,0,1,-159.99583333335,79.86239574700579,-3466.0,2.5165011882781982,311.241943359375,0.0,0.0,-0.282,6.53,15.375,1.107,34.958
2,0,2,-159.99583333335,79.72895816066159,-3631.0,0.2212482243776321,218.7704620361328,0.0,0.0,,,,,
3,0,3,-159.99583333335,79.59552057431739,-3518.0,0.3084595501422882,313.64410400390625,0.0,0.0,-0.282,6.53,,,34.958
4,0,4,-159.99583333335,79.46208298797319,-3454.0,0.8761916160583496,163.67462158203125,0.0,0.0,-0.282,6.53,15.375,1.107,34.958
5,0,5,-159.99583333335,79.32864540162898,-3263.0,0.9243245720863342,97.74537658691406,0.0,0.0,-0.30102216180936664,6.537537401100159,15.375,1.107,34.95792217979104
6,0,6,-159.99583333335,79.19520781528479,-3137.0,0.7081158757209778,90.0,0.0,0.0,-0.3190595573100212,6.5320754853731895,15.47735616915946,1.107,34.957937081530424
7,0,7,-159.99583333335,79.06177022894059,-2619.0,5.562033653259277,67.35791778564453,0.0,0.0,-0.3648749248505807,6.549492111747908,15.476125880388011,1.1067286195856372,34.95618334163053
8,0,8,-159.99583333335,78.92833264259637,-1374.0,7.430357456207275,72.53507995605469,0.024000000208616257,0.005000000353902578,-0.2942676714103417,6.889342596990256,14.043726810828387,1.0032490076019118,34.90987555358576
9,0,9,-159.99583333335,78.79489505625217,-913.0,4.092289447784424,327.1338806152344,0.008000000379979609,0.001000000047497451,-0.005113985437466885,6.936172553016318,13.241083990826356,0.9400108786827566,34.87575528561387
10,0,10,-159.99583333335,78.66145746990797,-1644.0,9.289271354675293,56.56601333618164,0.02800000086426735,0.004000000189989804,-0.3862109061172706,6.774670919845759,14.703262228564455,1.0530618362688224,34.9309613279704
11,0,11,-159.99583333335,78.52801988356377,-1571.0,5.196588516235352,332.93603515625,0.015000000596046446,-0.001000000047497451,-0.3727491648139512,6.814163504026467,14.57608036725968,1.0430504539997292,34.925335635452235
12,0,12,-159.99583333335,78.39458229721956,-1636.0,1.5436605215072632,61.936424255371094,0.016000000759959217,-0.001000000047497451,-0.38245075212736207,6.767055536546391,14.704704876883163,1.0505661948941023,34.930734917173766
13,0,13,-159.99583333335,78.26114471087536,-1739.0,5.345969200134277,291.5087585449219,0.003000000026077032,-0.0070000002160668364,-0.4004954161811128,6.737189554635142,14.866712879487748,1.0615275814758591,34.93599752262342
14,0,14,-159.99583333335,78.12770712453116,-2608.0,6.744399547576903,344.92010498046875,0.0,0.0,-0.36443854960078814,6.550500341331719,15.476306417151925,1.10667519255509,34.95691938197609
15,0,15,-159.99583333335,77.99426953818696,-2469.0,4.349122047424316,79.73511505126953,0.0,0.0,-0.3728639758187125,6.555304419767903,15.49541918789882,1.1050325579052644,34.956392011718634
16,0,16,-159.99583333335,77.86083195184274,-1878.0,4.740950584411621,118.00450134277344,0.0,0.0,-0.395755282530619,6.679552259693793,15.067193023789711,1.0697973398879712,34.94176998401338
17,0,17,-159.99583333335,77.72739436549854,-1928.0,2.03803825378418,124.60539245605469,0.0,0.0,-0.3784967196219299,6.6665266452875285,15.059793136769436,1.0629588864973474,34.93714813775958
18,0,18,-159.99583333335,77.59395677915435,-1383.0,4.155252933502196,92.95818328857422,0.0,0.0,-0.2514320751748678,6.826744059731944,13.989573330857732,0.9763861479712714,34.913414671738245
19,0,19,-159.99583333335,77.46051919281014,-829.0,1.4833930730819702,301.6896057128906,0.002000000094994902,0.003000000026077032,0.19949810424135397,6.917911037495389,13.162704120298905,0.9177709533866624,34.862940321776605
20,0,20,-159.99583333335,77.32708160646594,-809.0,0.7025562524795532,198.5271453857422,0.003000000026077032,0.002000000094994902,0.22211599703613635,6.918013553928139,13.162629699670148,0.9158110901380576,34.861576983693595
21,0,21,-159.99583333335,77.19364402012174,-1275.0,2.6602487564086914,280.51544189453125,0.005000000353902578,0.006000000052154064,-0.18243644704289835,6.840271492322778,13.837343427625587,0.9624727125698694,34.901659002513625
22,0,22,-159.99583333335,77.06020643377751,-1836.0,3.395264148712158,334.0810852050781,0.002000000094994902,-0.002000000094994902,-0.3015779136192241,6.642361853838342,14.83350382381882,1.0388900580710678,34.93069963315157
23,0,23,-159.99583333335,76.92676884743331,-2068.0,0.2172319293022156,308.77044677734375,0.003000000026077032,-0.002000000094994902,-0.32962650623339845,6.667062240706088,14.9050259089887,1.0398448325251264,34.92790234561967
24,0,24,-159.99583333335,76.79333126108912,-2108.0,0.1551334708929062,209.752685546875,-0.001000000047497451,0.004000000189989804,-0.302,,,,34.935
25,0,25,-159.99583333335,76.65989367474492,-2117.0,0.030794840306043625,270.0,-0.001000000047497451,0.004000000189989804,-0.302,,,,34.935
26,0,26,-159.99583333335,76.52645608840072,-2115.0,0.3783489465713501,29.23247337341309,0.0,0.001000000047497451,-0.302,,,,34.935
27,0,27,-159.99583333335,76.3930185020565,-1992.0,0.3023410439491272,166.75144958496094,0.0,0.001000000047497451,-0.3066299190273854,6.674488034487282,14.921325882960561,1.0423495112197505,34.930258517155764
28,0,28,-159.99583333335,76.2595809157123,-2028.0,0.27835172414779663,242.26190185546875,0.0,0.0,-0.30183572144639403,6.669357978065388,14.909267014915415,1.0427562100484236,34.93145811588716
